	Gene Symbol	GC Id
0	CDH1	GC16P068737
1	CDH2	GC18M028088
2	CDH5	GC16P066366
3	CDH3	GC16P068637
4	CDH13	GC16P082626
6	CDH11	GC16M064943
7	CDH17	GC08M094127
9	CDH15	GC16P089171
10	CDH4	GC20P061252
11	CDH12	GC05M021786
12	CDH6	GC05P031229
13	CDH10	GC05M024522
15	CDH16	GC16M066908
16	CDH23	GC10P071396
17	CDH18	GC05M019508
18	CDH8	GC16M061647
19	CDH9	GC05M026916
20	CDH7	GC18P065750
21	CDH22	GC20M046173
24	CDH20	GC18P061333
25	CDH19	GC18M066501
26	CDH26	GC20P059958
27	CELSR1	GC22M046360
28	CDHR3	GC07P105876
29	CDH24	GC14M023047
30	CELSR2	GC01P109250
32	CELSR3	GC03M048641
33	CDHR1	GC10P084194
34	CDHR2	GC05P176542
35	CDHR5	GC11M004433
38	CDHR4	GC03M049790
41	CDH12P2	GC05M069985
42	CPED1	GC07P120988
49	CDH12P3	GC05P070132
50	CDH12P4	GC05P071132
51	CDH12P1	GC05M070860
68	LOC100130345	GC03M063749
0	ITGA7	GC12M055684
1	ITGB1	GC10M033645
2	ITGB3	GC17P062247
3	ITGA6	GC02P172427
4	ITGAV	GC02P186589
5	ITGB2	GC21M044885
6	ITGB4	GC17P075721
7	ITGA4	GC02P181456
8	ITGA5	GC12M055005
9	ITGA2	GC05P052989
10	ITGA3	GC17P050055
11	ITGAL	GC16P030472
12	ITGB6	GC02M160099
13	ITGA2B	GC17M051904
14	ITGB7	GC12M053191
15	ITGA1	GC05P052788
16	ITGAM	GC16P042850
17	ITGB5	GC03M124761
18	ILK	GC11P006604
19	ITGAX	GC16P042860
20	ITGA9	GC03P037468
21	ITGAE	GC17M006905
22	ITGB8	GC07P020329
23	ITGB1BP1	GC02M009391
24	ITGAD	GC16P042863
25	ITGA11	GC15M068296
26	ITGA8	GC10M015513
27	ITGA10	GC01M145891
28	ITGBL1	GC13P101454
31	ITGB1BP2	GC0XP071333
34	IBSP	GC04P087799
41	ITGB3BP	GC01M063440
47	ITFG2	GC12P002812
49	ITFG1	GC16M047156
69	ITGB1P1	GC19M014621
70	LOC100422479	GC16M031360
77	LOC100130137	GC01P192801
88	ENSG00000258440	GC14P052155
91	LOC100131280	GC05M110982
92	ENSG00000251627	GC05M110983
93	ENSG00000261245	GC16M031361
